game_id,quarter,team_slot,team_name,action_type,sub_type,success,scoring,player,pno,clock,s1,s2,lead,fga,fgm,two_pa,two_pm,three_pa,three_pm,fta,ftm
2798717,4,1,Edmonton Stingers,assist,,1,0,E. Bandoumel,6,03:54:00,70,63,7,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,2pt,dunk,1,1,D. Dainja,14,03:54:00,70,63,7,1,1,1,1,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,out,1,0,D. Walker,5,03:54:00,68,63,5,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,substitution,in,1,0,M. Kraus,11,03:54:00,68,63,5,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,freethrow,1of1,0,1,A. Toney,11,04:02:00,68,63,5,0,0,0,0,0,0,1,0
2798717,4,1,Edmonton Stingers,foulon,,1,0,A. Toney,11,04:02:00,68,63,5,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,foul,unsportsmanlike,1,0,T. Allen,3,04:02:00,68,63,5,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,assist,,1,0,T. King,10,04:02:00,68,63,5,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,2pt,layup,1,1,A. Toney,11,04:02:00,68,63,5,1,1,1,1,0,0,0,0
2798717,4,1,Edmonton Stingers,steal,,1,0,D. Dainja,14,04:07:00,66,63,3,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,turnover,badpass,1,0,T. Allen,3,04:07:00,66,63,3,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,2pt,tipindunk,1,1,D. Dainja,14,04:24:00,66,63,3,1,1,1,1,0,0,0,0
2798717,4,1,Edmonton Stingers,rebound,offensive,1,0,D. Dainja,14,04:24:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,2pt,layup,0,1,T. Donald,7,04:28:00,64,63,1,1,0,1,0,0,0,0,0
2798717,4,1,Edmonton Stingers,rebound,offensive,1,0,T. Donald,7,04:29:00,64,63,1,0,0,0,0,0,0,0,0
