game_id,team_slot,team_name,team_short_name,team_code,opponent_name,r,x,y,p,pno,tno,per,perType,actionType,actionNumber,previousAction,subType,player,shirtNumber
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,73.419998168945,80.190002441406,6,6,1,2,REGULAR,3pt,382,,jumpshot,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,89.930000305176,57.369998931885,6,6,1,2,REGULAR,2pt,386,,drivinglayup,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,82.139999389648,6.9499998092651,3,3,1,2,REGULAR,3pt,388,,jumpshot,A. Rhooms,12
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,94.0,50.0,11,11,1,2,REGULAR,2pt,390,,tipinlayup,A. Toney,5
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,5.039999961853,48.919998168945,11,11,1,3,REGULAR,2pt,423,,layup,A. Toney,5
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,6.4400000572205,55.680000305176,14,14,1,3,REGULAR,2pt,427,,drivinglayup,D. Dainja,42
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,7.0599999427795,22.440000534058,14,14,1,3,REGULAR,2pt,436,,jumpshot,D. Dainja,42
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,15.939999580383,95.400001525879,6,6,1,3,REGULAR,3pt,443,,jumpshot,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,22.950000762939,49.479999542236,11,11,1,3,REGULAR,2pt,445,,stepbackjumpshot,A. Toney,5
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,5.8200001716614,55.119998931885,10,10,1,3,REGULAR,2pt,468,,layup,T. King,0
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,20.770000457764,68.360000610352,7,7,1,3,REGULAR,2pt,483,,jumpshot,T. Donald,3
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,11.729999542236,73.709999084473,10,10,1,3,REGULAR,2pt,492,,fadeaway,T. King,0
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,29.64999961853,75.959999084473,10,10,1,3,REGULAR,3pt,496,,jumpshot,T. King,0
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,21.860000610352,9.4799995422363,10,10,1,3,REGULAR,3pt,500,,jumpshot,T. King,0
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,22.329999923706,13.989999771118,6,6,1,3,REGULAR,3pt,504,,pullupjumpshot,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,29.799999237061,74.839996337891,3,3,1,3,REGULAR,3pt,523,,jumpshot,A. Rhooms,12
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,27.620000839233,23.0,12,12,1,3,REGULAR,3pt,546,,jumpshot,S. Teel,2
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,33.540000915527,48.080001831055,3,3,1,3,REGULAR,3pt,565,,jumpshot,A. Rhooms,12
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,27.309999465942,78.779998779297,12,12,1,3,REGULAR,3pt,579,,jumpshot,S. Teel,2
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,23.729999542236,13.989999771118,6,6,1,3,REGULAR,3pt,584,,jumpshot,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,33.540000915527,57.930000305176,10,10,1,3,REGULAR,3pt,613,,jumpshot,T. King,0
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,11.270000457764,52.020000457764,2,2,1,4,REGULAR,2pt,641,,layup,A. Mohamed,7
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,32.290000915527,77.650001525879,12,12,1,4,REGULAR,3pt,646,,jumpshot,S. Teel,2
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,6.9099998474121,52.020000457764,11,11,1,4,REGULAR,2pt,649,,layup,A. Toney,5
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,31.979999542236,34.270000457764,12,12,1,4,REGULAR,3pt,665,,jumpshot,S. Teel,2
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,17.340000152588,6.6700000762939,7,7,1,4,REGULAR,3pt,668,,jumpshot,T. Donald,3
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,6.1300001144409,46.950000762939,6,6,1,4,REGULAR,2pt,681,,layup,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,15.939999580383,57.369998931885,3,3,1,4,REGULAR,2pt,686,,turnaroundjumpshot,A. Rhooms,12
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,24.35000038147,84.980003356934,6,6,1,4,REGULAR,3pt,699,,jumpshot,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,8.3100004196167,37.930000305176,14,14,1,4,REGULAR,2pt,703,,drivinglayup,D. Dainja,42
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,22.950000762939,10.050000190735,11,11,1,4,REGULAR,3pt,717,,jumpshot,A. Toney,5
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,6.4400000572205,44.979999542236,7,7,1,4,REGULAR,2pt,719,,layup,T. Donald,3
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,6.0,50.0,14,14,1,4,REGULAR,2pt,721,,tipindunk,D. Dainja,42
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,7.2199997901917,48.919998168945,11,11,1,4,REGULAR,2pt,725,,layup,A. Toney,5
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,4.8800001144409,55.119998931885,14,14,1,4,REGULAR,2pt,735,,dunk,D. Dainja,42
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,16.559999465942,34.549999237061,10,10,1,4,REGULAR,2pt,741,,jumpshot,T. King,0
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,23.260000228882,51.169998168945,10,10,1,4,REGULAR,2pt,753,,stepbackjumpshot,T. King,0
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,6.1300001144409,57.650001525879,6,6,1,4,REGULAR,2pt,760,,layup,E. Bandoumel,8
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,1,6.75,52.860000610352,14,14,1,4,REGULAR,2pt,767,,layup,D. Dainja,42
2798717,1,Edmonton Stingers,Edmonton,EDM,Winnipeg Sea Bears,0,7.6799998283386,55.119998931885,7,7,1,4,REGULAR,2pt,775,,layup,T. Donald,3
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,5.9699997901917,45.819999694824,6,6,2,1,REGULAR,2pt,10,,reverselayup,E. Akot,7
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,34.479999542236,52.860000610352,13,13,2,1,REGULAR,3pt,20,,jumpshot,A. Chaney,11
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,11.729999542236,65.819999694824,3,3,2,1,REGULAR,2pt,23,,turnaroundjumpshot,T. Allen,8
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,11.420000076294,80.470001220703,3,3,2,1,REGULAR,2pt,30,,floatingjumpshot,T. Allen,8
