game_id,season,team_name,player_number,player_name,position,minutes,points,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,blocks_received,personal_fouls,fouls_drawn,plus_minus,index_rating,index_rating_2,index_rating_3,index_rating_4,index_rating_5,index_rating_6,index_rating_7,second_chance_points,fast_break_points,points_in_the_paint,first_name,first_name_initial,last_name,last_name_initial,international_first_name,international_first_name_initial,international_last_name,international_last_name_initial,scoreboard_name,active,starter,captain,photo_t,photo_s,team_name_clean,opponent_name,game_date,game_number
2600568,2025,Brampton Honey Badgers,20,Conner Landell,F,7:25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,-6,-1,0,-1.4,-5.0,-2,-1,-1,0,0,0,Conner,C,Landell,L,Conner,C,Landell,L,C. Landell,False,False,False,https://images.statsengine.playbyplay.api.geniussports.com/8ee913c502372d8a2c021f303d95f50eT1.png,https://images.statsengine.playbyplay.api.geniussports.com/8ee913c502372d8a2c021f303d95f50eS1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,0,Koby Mcewen,G,34:19,15,4,11,36,2,6,33,2,5,40,5,5,100,1,5,6,4,4,1,0,0,2,4,-22,15,2,10.1,38.0,16,15,15,2,0,4,Koby,K,Mcewen,M,Koby,K,McEwen,M,K. Mcewen,False,True,True,https://images.statsengine.playbyplay.api.geniussports.com/6c84f66fa503a0999fcf0316300b089dT1.png,https://images.statsengine.playbyplay.api.geniussports.com/6c84f66fa503a0999fcf0316300b089dS1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,24,Amari Kelly,F,32:35,14,4,13,30,4,9,44,0,4,0,6,6,100,2,8,10,5,3,0,1,2,3,4,-16,18,1,10.3,42.0,17,18,18,2,0,8,Amari,A,Kelly,K,Amari,A,Kelly,K,A. Kelly,True,True,False,https://images.statsengine.playbyplay.api.geniussports.com/b54f2d874d3ddab416a1cbd980bc9f05T1.png,https://images.statsengine.playbyplay.api.geniussports.com/b54f2d874d3ddab416a1cbd980bc9f05S1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,2,Will Douglas,G,27:36,10,3,8,37,2,6,33,1,2,50,3,5,60,2,2,4,3,3,1,0,1,3,8,-20,8,2,5.7,15.5,12,8,8,0,1,4,Will,W,Douglas,D,Will,W,Douglas,D,W. Douglas,True,True,False,https://images.statsengine.playbyplay.api.geniussports.com/802de7768989cffe947dc1fc342def16T1.png,https://images.statsengine.playbyplay.api.geniussports.com/802de7768989cffe947dc1fc342def16S1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,22,Patrick Emilien,F,27:28,6,2,11,18,0,3,0,2,8,25,0,0,0,1,3,4,0,1,0,0,2,3,0,-11,0,0,-1.5,-17.0,-5,0,0,0,0,0,Patrick,P,Emilien,E,Patrick,P,Emilien,E,P. Emilien,True,True,False,https://images.statsengine.playbyplay.api.geniussports.com/dea61a513647e192d8e88c775f21c7f9T1.png,https://images.statsengine.playbyplay.api.geniussports.com/dea61a513647e192d8e88c775f21c7f9S1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,1,Mike Demagus,G,25:57,7,3,6,50,2,2,100,1,4,25,0,0,0,1,3,4,1,1,0,0,0,0,0,-16,8,2,5.3,25.5,8,8,8,0,2,4,Mike,M,Demagus,D,Mike,M,Demagus,D,M. Demagus,True,False,False,https://images.statsengine.playbyplay.api.geniussports.com/e156efa590b47a3c9d6d9ba496274109T1.png,https://images.statsengine.playbyplay.api.geniussports.com/e156efa590b47a3c9d6d9ba496274109S1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,6,Taryn Todd,G,20:13,4,1,4,25,0,3,0,1,1,100,1,2,50,1,3,4,2,2,2,0,0,4,2,-13,6,2,2.6,3.5,4,6,6,4,0,0,Taryn,T,Todd,T,Taryn,T,Todd,T,T. Todd,True,True,False,https://images.statsengine.playbyplay.api.geniussports.com/6621681802a014f740b7bbe5aeec9063T1.png,https://images.statsengine.playbyplay.api.geniussports.com/6621681802a014f740b7bbe5aeec9063S1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,25,Jasman Sangha,C,12:32,3,0,3,0,0,2,0,0,1,0,3,4,75,1,1,2,0,0,0,0,0,0,2,-11,1,3,1.5,5.0,3,1,1,1,0,0,Jasman,J,Sangha,S,Jasman,J,Sangha,S,J. Sangha,False,False,False,https://images.statsengine.playbyplay.api.geniussports.com/8b4070108f202156dbacbdf2b0b68e5dT1.png,https://images.statsengine.playbyplay.api.geniussports.com/8b4070108f202156dbacbdf2b0b68e5dS1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,7,Mychael Paulo,G,11:55,7,3,5,60,2,3,66,1,2,50,0,0,0,0,2,2,2,0,0,1,0,0,0,5,10,2,7.4,31.5,10,10,10,0,2,2,Mychael,M,Paulo,P,Mychael,M,Paulo,P,M. Paulo,False,False,False,https://images.statsengine.playbyplay.api.geniussports.com/a2e05e7af2db2edab0ff0dcd63b9af7eT1.png,https://images.statsengine.playbyplay.api.geniussports.com/a2e05e7af2db2edab0ff0dcd63b9af7eS1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
2600568,2025,Brampton Honey Badgers,4,Quinndary Weatherspoon,G,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,Quinndary,Q,Weatherspoon,W,Quinndary,Q,Weatherspoon,W,Q. Weatherspoon,False,False,False,https://images.statsengine.playbyplay.api.geniussports.com/869f1b146ed784207c7217d04b82ea44T1.png,https://images.statsengine.playbyplay.api.geniussports.com/869f1b146ed784207c7217d04b82ea44S1.png,brampton honey badgers,Montreal Alliance,2025-05-18T20:00:00Z,1
