game_id,season,game_date,game_number,team_name,short_name,opponent_name,self_team_score,self_field_goals_made,self_field_goals_attempted,self_field_goal_percentage,self_two_point_field_goals_made,self_two_point_field_goals_attempted,self_two_point_percentage,self_three_point_field_goals_made,self_three_point_field_goals_attempted,self_three_point_percentage,self_free_throws_made,self_free_throws_attempted,self_free_throw_percentage,self_offensive_rebounds,self_defensive_rebounds,self_rebounds,self_assists,self_steals,self_turnovers,self_blocks,self_personal_fouls,self_fouls_drawn,self_points_in_the_paint,self_second_chance_points,self_points_from_turnovers,self_bench_points,self_fast_break_points,self_stocks,opp_team_score,opp_field_goals_made,opp_field_goals_attempted,opp_field_goal_percentage,opp_two_point_field_goals_made,opp_two_point_field_goals_attempted,opp_two_point_percentage,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_three_point_percentage,opp_free_throws_made,opp_free_throws_attempted,opp_free_throw_percentage,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_steals,opp_turnovers,opp_blocks,opp_personal_fouls,opp_fouls_drawn,opp_points_in_the_paint,opp_second_chance_points,opp_points_from_turnovers,opp_bench_points,opp_fast_break_points,opp_stocks,diff_team_score,diff_field_goals_made,diff_field_goals_attempted,diff_field_goal_percentage,diff_two_point_field_goals_made,diff_two_point_field_goals_attempted,diff_two_point_percentage,diff_three_point_field_goals_made,diff_three_point_field_goals_attempted,diff_three_point_percentage,diff_free_throws_made,diff_free_throws_attempted,diff_free_throw_percentage,diff_offensive_rebounds,diff_defensive_rebounds,diff_rebounds,diff_assists,diff_steals,diff_turnovers,diff_blocks,diff_personal_fouls,diff_fouls_drawn,diff_points_in_the_paint,diff_second_chance_points,diff_points_from_turnovers,diff_bench_points,diff_fast_break_points,diff_stocks
2600568,2025,2025-05-18T20:00:00Z,1,Brampton Honey Badgers,Brampton,Montreal Alliance,66,20,62,32,12,35,34,8,27,29,18,22,81,12,29,41,17,4,19,2,15,20,22,9,8,17,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600569,2025,2025-05-21T23:30:00Z,2,Brampton Honey Badgers,Brampton,Ottawa BlackJacks,83,29,54,53,22,40,55,7,14,50,18,23,78,12,24,36,16,7,24,1,27,18,42,10,15,16,6,8,105.0,35.0,70.0,50.0,24.0,40.0,60.0,11.0,30.0,36.0,24.0,28.0,85.0,14.0,17.0,31.0,25.0,11.0,12.0,3.0,19.0,26.0,44.0,20.0,37.0,41.0,21.0,14.0,-22.0,-6.0,-16.0,3.0,-2.0,0.0,-5.0,-4.0,-16.0,14.0,-6.0,-5.0,-7.0,-2.0,7.0,5.0,-9.0,-4.0,12.0,-2.0,8.0,-8.0,-2.0,-10.0,-22.0,-25.0,-15.0,-6.0
2600576,2025,2025-05-25T18:00:00Z,3,Brampton Honey Badgers,Brampton,Scarborough Shooting Stars,76,26,78,33,20,52,38,6,26,23,18,21,85,17,33,50,17,6,16,3,11,21,38,8,15,16,11,9,90.0,35.0,82.0,42.0,23.0,48.0,47.0,12.0,34.0,35.0,8.0,10.0,80.0,14.0,34.0,48.0,24.0,11.0,15.0,5.0,21.0,10.0,38.0,10.0,23.0,30.0,27.0,16.0,-14.0,-9.0,-4.0,-9.0,-3.0,4.0,-9.0,-6.0,-8.0,-12.0,10.0,11.0,5.0,3.0,-1.0,2.0,-7.0,-5.0,1.0,-2.0,-10.0,11.0,0.0,-2.0,-8.0,-14.0,-16.0,-7.0
2600580,2025,2025-05-29T01:00:00Z,4,Brampton Honey Badgers,Brampton,Edmonton Stingers,81,28,60,46,19,35,54,9,25,36,16,21,76,7,20,27,16,8,15,4,18,22,38,4,21,10,9,12,99.0,38.0,68.0,55.0,26.0,36.0,72.0,12.0,32.0,37.0,11.0,15.0,73.0,11.0,28.0,39.0,18.0,8.0,15.0,1.0,22.0,17.0,44.0,16.0,18.0,48.0,21.0,9.0,-18.0,-10.0,-8.0,-9.0,-7.0,-1.0,-18.0,-3.0,-7.0,-1.0,5.0,6.0,3.0,-4.0,-8.0,-12.0,-2.0,0.0,0.0,3.0,-4.0,5.0,-6.0,-12.0,3.0,-38.0,-12.0,3.0
2600582,2025,2025-05-30T01:30:00Z,5,Brampton Honey Badgers,Brampton,Calgary Surge,85,27,61,44,18,31,58,9,30,30,22,30,73,7,32,39,18,8,19,2,33,23,28,4,21,22,0,10,90.0,32.0,70.0,45.0,27.0,49.0,55.0,5.0,21.0,23.0,21.0,41.0,51.0,15.0,29.0,44.0,19.0,11.0,19.0,6.0,23.0,32.0,40.0,12.0,21.0,14.0,11.0,17.0,-5.0,-5.0,-9.0,-1.0,-9.0,-18.0,3.0,4.0,9.0,7.0,1.0,-11.0,22.0,-8.0,3.0,-5.0,-1.0,-3.0,0.0,-4.0,10.0,-9.0,-12.0,-8.0,0.0,8.0,-11.0,-7.0
2600595,2025,2025-06-04T15:00:00Z,6,Brampton Honey Badgers,Brampton,Montreal Alliance,71,24,54,44,16,27,59,8,27,29,15,18,83,6,31,37,13,2,19,4,18,16,30,2,7,14,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600601,2025,2025-06-06T23:30:00Z,7,Brampton Honey Badgers,Brampton,Winnipeg Sea Bears,81,24,62,38,18,38,47,6,24,25,27,32,84,14,34,48,13,7,16,3,17,24,34,19,16,16,14,10,74.0,26.0,64.0,40.0,15.0,35.0,42.0,11.0,29.0,37.0,11.0,15.0,73.0,6.0,24.0,30.0,17.0,9.0,14.0,2.0,25.0,15.0,24.0,5.0,18.0,39.0,12.0,11.0,7.0,-2.0,-2.0,-2.0,3.0,3.0,5.0,-5.0,-5.0,-12.0,16.0,17.0,11.0,8.0,10.0,18.0,-4.0,-2.0,2.0,1.0,-8.0,9.0,10.0,14.0,-2.0,-23.0,2.0,-1.0
2600587,2025,2025-06-08T19:00:00Z,8,Brampton Honey Badgers,Brampton,Niagara River Lions,80,27,69,39,21,39,53,6,30,20,20,24,83,11,33,44,14,9,17,3,24,19,34,13,16,13,9,12,94.0,29.0,75.0,38.0,17.0,35.0,48.0,12.0,40.0,30.0,24.0,31.0,77.0,17.0,35.0,52.0,21.0,9.0,14.0,2.0,22.0,21.0,30.0,10.0,14.0,34.0,9.0,11.0,-14.0,-2.0,-6.0,1.0,4.0,4.0,5.0,-6.0,-10.0,-10.0,-4.0,-7.0,6.0,-6.0,-2.0,-8.0,-7.0,0.0,3.0,1.0,2.0,-2.0,4.0,3.0,2.0,-21.0,0.0,1.0
2600610,2025,2025-06-14T23:30:00Z,9,Brampton Honey Badgers,Brampton,Edmonton Stingers,95,35,62,56,27,42,64,8,20,40,17,23,73,10,29,39,20,5,17,8,18,19,48,11,11,18,12,13,91.0,33.0,75.0,44.0,23.0,50.0,46.0,10.0,25.0,40.0,15.0,17.0,88.0,15.0,19.0,34.0,20.0,10.0,12.0,1.0,19.0,18.0,38.0,11.0,22.0,20.0,15.0,11.0,4.0,2.0,-13.0,12.0,4.0,-8.0,18.0,-2.0,-5.0,0.0,2.0,6.0,-15.0,-5.0,10.0,5.0,0.0,-5.0,5.0,7.0,-1.0,1.0,10.0,0.0,-11.0,-2.0,-3.0,2.0
2600607,2025,2025-06-21T00:00:00Z,10,Brampton Honey Badgers,Brampton,Saskatchewan Rattlers,88,36,68,52,25,39,64,11,29,37,5,12,41,9,29,38,25,7,14,1,14,12,44,7,16,20,10,8,86.0,32.0,76.0,42.0,21.0,46.0,45.0,11.0,30.0,36.0,11.0,15.0,73.0,17.0,26.0,43.0,19.0,11.0,14.0,3.0,12.0,14.0,34.0,13.0,22.0,16.0,21.0,14.0,2.0,4.0,-8.0,10.0,4.0,-7.0,19.0,0.0,-1.0,1.0,-6.0,-3.0,-32.0,-8.0,3.0,-5.0,6.0,-4.0,0.0,-2.0,2.0,-2.0,10.0,-6.0,-6.0,4.0,-11.0,-6.0
