game_id,season,game_date,game_number,team_name,short_name,opponent_name,self_team_score,self_field_goals_made,self_field_goals_attempted,self_field_goal_percentage,self_two_point_field_goals_made,self_two_point_field_goals_attempted,self_two_point_percentage,self_three_point_field_goals_made,self_three_point_field_goals_attempted,self_three_point_percentage,self_free_throws_made,self_free_throws_attempted,self_free_throw_percentage,self_offensive_rebounds,self_defensive_rebounds,self_rebounds,self_assists,self_steals,self_turnovers,self_blocks,self_personal_fouls,self_fouls_drawn,self_points_in_the_paint,self_second_chance_points,self_points_from_turnovers,self_bench_points,self_fast_break_points,self_stocks,opp_team_score,opp_field_goals_made,opp_field_goals_attempted,opp_field_goal_percentage,opp_two_point_field_goals_made,opp_two_point_field_goals_attempted,opp_two_point_percentage,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_three_point_percentage,opp_free_throws_made,opp_free_throws_attempted,opp_free_throw_percentage,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_steals,opp_turnovers,opp_blocks,opp_personal_fouls,opp_fouls_drawn,opp_points_in_the_paint,opp_second_chance_points,opp_points_from_turnovers,opp_bench_points,opp_fast_break_points,opp_stocks,diff_team_score,diff_field_goals_made,diff_field_goals_attempted,diff_field_goal_percentage,diff_two_point_field_goals_made,diff_two_point_field_goals_attempted,diff_two_point_percentage,diff_three_point_field_goals_made,diff_three_point_field_goals_attempted,diff_three_point_percentage,diff_free_throws_made,diff_free_throws_attempted,diff_free_throw_percentage,diff_offensive_rebounds,diff_defensive_rebounds,diff_rebounds,diff_assists,diff_steals,diff_turnovers,diff_blocks,diff_personal_fouls,diff_fouls_drawn,diff_points_in_the_paint,diff_second_chance_points,diff_points_from_turnovers,diff_bench_points,diff_fast_break_points,diff_stocks
2600614,2025,2025-06-22T18:30:00Z,11,Brampton Honey Badgers,Brampton,Ottawa BlackJacks,76,27,70,38,16,44,36,11,26,42,11,19,57,16,30,46,18,6,15,6,23,19,30,15,14,23,13,12,89.0,31.0,78.0,39.0,19.0,44.0,43.0,12.0,34.0,35.0,15.0,18.0,83.0,16.0,30.0,46.0,18.0,5.0,10.0,5.0,19.0,22.0,28.0,19.0,22.0,20.0,9.0,10.0,-13.0,-4.0,-8.0,-1.0,-3.0,0.0,-7.0,-1.0,-8.0,7.0,-4.0,1.0,-26.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,-3.0,2.0,-4.0,-8.0,3.0,4.0,2.0
2600622,2025,2025-06-29T18:00:00Z,12,Brampton Honey Badgers,Brampton,Niagara River Lions,91,31,74,41,16,41,39,15,33,45,14,17,82,10,34,44,18,9,11,3,22,18,30,7,14,9,15,12,66.0,21.0,63.0,33.0,16.0,35.0,45.0,5.0,28.0,17.0,19.0,23.0,82.0,9.0,32.0,41.0,15.0,3.0,14.0,2.0,18.0,22.0,26.0,4.0,15.0,29.0,5.0,5.0,25.0,10.0,11.0,8.0,0.0,6.0,-6.0,10.0,5.0,28.0,-5.0,-6.0,0.0,1.0,2.0,3.0,3.0,6.0,-3.0,1.0,4.0,-4.0,4.0,3.0,-1.0,-20.0,10.0,7.0
2600631,2025,2025-07-03T23:30:00Z,13,Brampton Honey Badgers,Brampton,Calgary Surge,85,30,82,36,19,55,34,11,27,40,14,17,82,20,36,56,16,7,23,5,21,15,32,15,12,33,9,12,94.0,33.0,76.0,43.0,23.0,48.0,47.0,10.0,28.0,35.0,18.0,26.0,69.0,9.0,31.0,40.0,25.0,12.0,13.0,9.0,15.0,21.0,42.0,9.0,30.0,27.0,26.0,21.0,-9.0,-3.0,6.0,-7.0,-4.0,7.0,-13.0,1.0,-1.0,5.0,-4.0,-9.0,13.0,11.0,5.0,16.0,-9.0,-5.0,10.0,-4.0,6.0,-6.0,-10.0,6.0,-18.0,6.0,-17.0,-9.0
2600624,2025,2025-07-07T00:00:00Z,14,Brampton Honey Badgers,Brampton,Vancouver Bandits,84,33,69,47,25,41,60,8,28,28,10,14,71,6,36,42,18,4,10,8,20,12,40,6,7,24,7,12,87.0,32.0,74.0,43.0,20.0,44.0,45.0,12.0,30.0,40.0,11.0,16.0,68.0,8.0,30.0,38.0,24.0,6.0,8.0,2.0,13.0,19.0,36.0,14.0,18.0,13.0,8.0,8.0,-3.0,1.0,-5.0,4.0,5.0,-3.0,15.0,-4.0,-2.0,-12.0,-1.0,-2.0,3.0,-2.0,6.0,4.0,-6.0,-2.0,2.0,6.0,7.0,-7.0,4.0,-8.0,-11.0,11.0,-1.0,4.0
2600625,2025,2025-07-09T16:30:00Z,15,Brampton Honey Badgers,Brampton,Ottawa BlackJacks,73,29,68,42,19,48,39,10,20,50,5,9,55,11,16,27,21,8,11,6,13,10,34,11,18,21,8,14,101.0,38.0,65.0,58.0,21.0,34.0,61.0,17.0,31.0,54.0,8.0,9.0,88.0,10.0,29.0,39.0,28.0,9.0,15.0,4.0,10.0,13.0,38.0,20.0,12.0,31.0,15.0,13.0,-28.0,-9.0,3.0,-16.0,-2.0,14.0,-22.0,-7.0,-11.0,-4.0,-3.0,0.0,-33.0,1.0,-13.0,-12.0,-7.0,-1.0,-4.0,2.0,3.0,-3.0,-4.0,-9.0,6.0,-10.0,-7.0,1.0
2600634,2025,2025-07-12T00:00:00Z,16,Brampton Honey Badgers,Brampton,Vancouver Bandits,85,30,63,47,18,32,56,12,31,38,13,18,72,6,30,36,15,7,13,2,23,14,36,5,17,20,5,9,89.0,31.0,74.0,41.0,18.0,42.0,42.0,13.0,32.0,40.0,14.0,23.0,60.0,19.0,31.0,50.0,20.0,7.0,13.0,2.0,14.0,23.0,34.0,15.0,12.0,9.0,17.0,9.0,-4.0,-1.0,-11.0,6.0,0.0,-10.0,14.0,-1.0,-1.0,-2.0,-1.0,-5.0,12.0,-13.0,-1.0,-14.0,-5.0,0.0,0.0,0.0,9.0,-9.0,2.0,-10.0,5.0,11.0,-12.0,0.0
2600638,2025,2025-07-13T18:00:00Z,17,Brampton Honey Badgers,Brampton,Scarborough Shooting Stars,71,23,66,34,15,36,41,8,30,26,17,23,73,10,26,36,15,12,12,2,18,20,30,5,16,17,13,14,86.0,31.0,66.0,46.0,20.0,37.0,54.0,11.0,29.0,37.0,13.0,19.0,68.0,13.0,34.0,47.0,16.0,8.0,17.0,2.0,20.0,17.0,40.0,16.0,17.0,23.0,14.0,10.0,-15.0,-8.0,0.0,-12.0,-5.0,-1.0,-13.0,-3.0,1.0,-11.0,4.0,4.0,5.0,-3.0,-8.0,-11.0,-1.0,4.0,-5.0,0.0,-2.0,3.0,-10.0,-11.0,-1.0,-6.0,-1.0,4.0
2600643,2025,2025-07-16T23:00:00Z,18,Brampton Honey Badgers,Brampton,Niagara River Lions,79,30,62,48,22,40,55,8,22,36,11,14,78,9,20,29,19,4,14,2,19,18,38,8,16,10,7,6,97.0,33.0,66.0,50.0,25.0,47.0,53.0,8.0,19.0,42.0,23.0,28.0,82.0,15.0,24.0,39.0,23.0,6.0,9.0,2.0,19.0,19.0,44.0,15.0,17.0,32.0,12.0,8.0,-18.0,-3.0,-4.0,-2.0,-3.0,-7.0,2.0,0.0,3.0,-6.0,-12.0,-14.0,-4.0,-6.0,-4.0,-10.0,-4.0,-2.0,5.0,0.0,0.0,-1.0,-6.0,-7.0,-1.0,-22.0,-5.0,-2.0
2600663,2025,2025-07-21T23:30:00Z,19,Brampton Honey Badgers,Brampton,Ottawa BlackJacks,77,30,81,37,22,54,40,8,27,29,9,11,81,11,34,45,16,6,7,3,15,15,38,6,14,9,3,9,91.0,32.0,76.0,42.0,22.0,45.0,48.0,10.0,31.0,32.0,17.0,21.0,80.0,13.0,39.0,52.0,20.0,2.0,7.0,5.0,15.0,15.0,44.0,19.0,5.0,21.0,16.0,7.0,-14.0,-2.0,5.0,-5.0,0.0,9.0,-8.0,-2.0,-4.0,-3.0,-8.0,-10.0,1.0,-2.0,-5.0,-7.0,-4.0,4.0,0.0,-2.0,0.0,0.0,-6.0,-13.0,9.0,-12.0,-13.0,2.0
2600644,2025,2025-07-25T23:30:00Z,20,Brampton Honey Badgers,Brampton,Scarborough Shooting Stars,96,32,77,41,23,49,46,9,28,32,23,27,85,18,26,44,21,9,12,4,21,17,44,9,27,19,16,13,89.0,28.0,62.0,45.0,15.0,31.0,48.0,13.0,31.0,41.0,20.0,29.0,68.0,7.0,26.0,33.0,27.0,7.0,16.0,5.0,17.0,21.0,28.0,4.0,13.0,18.0,20.0,12.0,7.0,4.0,15.0,-4.0,8.0,18.0,-2.0,-4.0,-3.0,-9.0,3.0,-2.0,17.0,11.0,0.0,11.0,-6.0,2.0,-4.0,-1.0,4.0,-4.0,16.0,5.0,14.0,1.0,-4.0,1.0
2600655,2025,2025-07-27T18:00:00Z,21,Brampton Honey Badgers,Brampton,Niagara River Lions,84,32,72,44,24,49,48,8,23,34,12,17,70,17,28,45,13,7,14,5,20,18,44,11,20,28,7,12,86.0,29.0,73.0,39.0,21.0,48.0,43.0,8.0,25.0,32.0,20.0,25.0,80.0,17.0,26.0,43.0,21.0,9.0,11.0,1.0,18.0,19.0,40.0,19.0,21.0,40.0,12.0,10.0,-2.0,3.0,-1.0,5.0,3.0,1.0,5.0,0.0,-2.0,2.0,-8.0,-8.0,-10.0,0.0,2.0,2.0,-8.0,-2.0,3.0,4.0,2.0,-1.0,4.0,-8.0,-1.0,-12.0,-5.0,2.0
2600647,2025,2025-08-01T23:30:00Z,22,Brampton Honey Badgers,Brampton,Montreal Alliance,83,30,65,46,23,37,62,7,28,25,16,18,88,7,20,27,20,8,12,3,18,16,40,6,20,18,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600676,2025,2025-08-09T00:30:00Z,23,Brampton Honey Badgers,Brampton,Winnipeg Sea Bears,60,23,66,34,20,42,47,3,24,12,11,17,64,12,26,38,9,4,18,4,20,17,38,15,11,5,3,8,92.0,35.0,77.0,45.0,24.0,41.0,58.0,11.0,36.0,30.0,11.0,17.0,64.0,18.0,34.0,52.0,25.0,11.0,13.0,5.0,17.0,19.0,44.0,16.0,19.0,20.0,21.0,16.0,-32.0,-12.0,-11.0,-11.0,-4.0,1.0,-11.0,-8.0,-12.0,-18.0,0.0,0.0,0.0,-6.0,-8.0,-14.0,-16.0,-7.0,5.0,-1.0,3.0,-2.0,-6.0,-1.0,-8.0,-15.0,-18.0,-8.0
2600683,2025,2025-08-10T23:00:00Z,24,Brampton Honey Badgers,Brampton,Saskatchewan Rattlers,85,33,70,47,25,49,51,8,21,38,11,22,50,10,24,34,17,3,9,3,17,18,42,11,11,27,16,6,96.0,34.0,73.0,46.0,25.0,45.0,55.0,9.0,28.0,32.0,19.0,21.0,90.0,15.0,32.0,47.0,32.0,6.0,14.0,5.0,18.0,15.0,50.0,15.0,10.0,37.0,20.0,11.0,-11.0,-1.0,-3.0,1.0,0.0,4.0,-4.0,-1.0,-7.0,6.0,-8.0,1.0,-40.0,-5.0,-8.0,-13.0,-15.0,-3.0,-5.0,-2.0,-1.0,3.0,-8.0,-4.0,1.0,-10.0,-4.0,-5.0
2600563,2025,2025-05-11T22:00:00Z,1,Calgary Surge,Calgary,Edmonton Stingers,86,32,71,45,25,48,52,7,23,30,15,26,57,12,33,45,12,9,18,5,13,18,44,8,16,15,16,14,84.0,31.0,72.0,43.0,24.0,45.0,53.0,7.0,27.0,25.0,15.0,17.0,88.0,8.0,32.0,40.0,18.0,6.0,17.0,2.0,18.0,13.0,40.0,10.0,19.0,14.0,15.0,8.0,2.0,1.0,-1.0,2.0,1.0,3.0,-1.0,0.0,-4.0,5.0,0.0,9.0,-31.0,4.0,1.0,5.0,-6.0,3.0,1.0,3.0,-5.0,5.0,4.0,-2.0,-3.0,1.0,1.0,6.0
2600565,2025,2025-05-16T23:00:00Z,2,Calgary Surge,Calgary,Niagara River Lions,94,31,69,44,22,44,50,9,25,36,23,28,82,17,29,46,21,11,22,5,17,23,40,22,13,47,20,16,98.0,37.0,82.0,45.0,24.0,57.0,42.0,13.0,25.0,52.0,11.0,15.0,73.0,16.0,24.0,40.0,22.0,13.0,16.0,9.0,23.0,16.0,38.0,14.0,21.0,24.0,18.0,22.0,-4.0,-6.0,-13.0,-1.0,-2.0,-13.0,8.0,-4.0,0.0,-16.0,12.0,13.0,9.0,1.0,5.0,6.0,-1.0,-2.0,6.0,-4.0,-6.0,7.0,2.0,8.0,-8.0,23.0,2.0,-6.0
2600573,2025,2025-05-24T00:30:00Z,3,Calgary Surge,Calgary,Winnipeg Sea Bears,98,37,72,51,31,51,60,6,21,28,18,27,66,17,34,51,19,12,18,3,19,22,58,17,27,13,22,15,86.0,34.0,84.0,40.0,23.0,44.0,52.0,11.0,40.0,27.0,7.0,16.0,43.0,19.0,22.0,41.0,22.0,7.0,17.0,3.0,22.0,18.0,38.0,15.0,19.0,20.0,3.0,10.0,12.0,3.0,-12.0,11.0,8.0,7.0,8.0,-5.0,-19.0,1.0,11.0,11.0,23.0,-2.0,12.0,10.0,-3.0,5.0,1.0,0.0,-3.0,4.0,20.0,2.0,8.0,-7.0,19.0,5.0
2600577,2025,2025-05-25T20:00:00Z,4,Calgary Surge,Calgary,Winnipeg Sea Bears,93,35,78,44,27,46,58,8,32,25,15,25,60,15,46,61,24,13,15,2,21,18,46,18,17,34,15,15,61.0,22.0,73.0,30.0,16.0,38.0,42.0,6.0,35.0,17.0,11.0,22.0,50.0,10.0,32.0,42.0,14.0,9.0,16.0,2.0,19.0,20.0,28.0,8.0,15.0,15.0,5.0,11.0,32.0,13.0,5.0,14.0,11.0,8.0,16.0,2.0,-3.0,8.0,4.0,3.0,10.0,5.0,14.0,19.0,10.0,4.0,-1.0,0.0,2.0,-2.0,18.0,10.0,2.0,19.0,10.0,4.0
2600582,2025,2025-05-30T01:30:00Z,5,Calgary Surge,Calgary,Brampton Honey Badgers,90,32,70,45,27,49,55,5,21,23,21,41,51,15,29,44,19,11,19,6,23,32,40,12,21,14,11,17,85.0,27.0,61.0,44.0,18.0,31.0,58.0,9.0,30.0,30.0,22.0,30.0,73.0,7.0,32.0,39.0,18.0,8.0,19.0,2.0,33.0,23.0,28.0,4.0,21.0,22.0,0.0,10.0,5.0,5.0,9.0,1.0,9.0,18.0,-3.0,-4.0,-9.0,-7.0,-1.0,11.0,-22.0,8.0,-3.0,5.0,1.0,3.0,0.0,4.0,-10.0,9.0,12.0,8.0,0.0,-8.0,11.0,7.0
2600592,2025,2025-06-02T00:00:00Z,6,Calgary Surge,Calgary,Vancouver Bandits,95,33,78,42,25,45,55,8,33,24,21,26,80,13,38,51,16,4,17,6,20,20,46,15,22,21,24,10,80.0,29.0,76.0,38.0,22.0,48.0,45.0,7.0,28.0,25.0,15.0,22.0,68.0,12.0,35.0,47.0,15.0,10.0,18.0,2.0,20.0,20.0,42.0,6.0,29.0,21.0,6.0,12.0,15.0,4.0,2.0,4.0,3.0,-3.0,10.0,1.0,5.0,-1.0,6.0,4.0,12.0,1.0,3.0,4.0,1.0,-6.0,-1.0,4.0,0.0,0.0,4.0,9.0,-7.0,0.0,18.0,-2.0
2600608,2025,2025-06-07T01:30:00Z,7,Calgary Surge,Calgary,Saskatchewan Rattlers,84,33,77,42,28,58,48,5,19,26,13,23,56,10,46,56,9,9,17,6,19,16,52,11,13,13,12,15,87.0,31.0,85.0,36.0,23.0,42.0,54.0,8.0,43.0,18.0,17.0,25.0,68.0,11.0,38.0,49.0,16.0,6.0,12.0,1.0,16.0,19.0,38.0,19.0,26.0,18.0,5.0,7.0,-3.0,2.0,-8.0,6.0,5.0,16.0,-6.0,-3.0,-24.0,8.0,-4.0,-2.0,-12.0,-1.0,8.0,7.0,-7.0,3.0,5.0,5.0,3.0,-3.0,14.0,-8.0,-13.0,-5.0,7.0,8.0
2600590,2025,2025-06-08T20:00:00Z,8,Calgary Surge,Calgary,Ottawa BlackJacks,107,34,63,53,24,35,68,10,28,35,29,38,76,6,24,30,16,9,10,4,19,24,40,5,24,17,10,13,93.0,34.0,63.0,53.0,26.0,40.0,65.0,8.0,23.0,34.0,17.0,26.0,65.0,8.0,24.0,32.0,19.0,3.0,19.0,1.0,24.0,19.0,36.0,12.0,10.0,34.0,3.0,4.0,14.0,0.0,0.0,0.0,-2.0,-5.0,3.0,2.0,5.0,1.0,12.0,12.0,11.0,-2.0,0.0,-2.0,-3.0,6.0,-9.0,3.0,-5.0,5.0,4.0,-7.0,14.0,-17.0,7.0,9.0
2600594,2025,2025-06-15T20:00:00Z,9,Calgary Surge,Calgary,Scarborough Shooting Stars,94,32,76,42,22,52,42,10,24,41,20,22,90,16,28,44,12,13,16,4,18,18,36,13,27,14,13,17,80.0,28.0,65.0,43.0,18.0,34.0,52.0,10.0,31.0,32.0,14.0,18.0,77.0,12.0,28.0,40.0,17.0,12.0,22.0,2.0,18.0,18.0,36.0,16.0,16.0,22.0,8.0,14.0,14.0,4.0,11.0,-1.0,4.0,18.0,-10.0,0.0,-7.0,9.0,6.0,4.0,13.0,4.0,0.0,4.0,-5.0,1.0,-6.0,2.0,0.0,0.0,0.0,-3.0,11.0,-8.0,5.0,3.0
2600600,2025,2025-06-20T01:30:00Z,10,Calgary Surge,Calgary,Edmonton Stingers,95,35,94,37,27,63,42,8,31,25,17,22,77,19,29,48,14,13,16,4,21,22,48,11,26,19,12,17,98.0,37.0,73.0,50.0,29.0,47.0,61.0,8.0,26.0,30.0,16.0,24.0,66.0,11.0,40.0,51.0,25.0,7.0,27.0,8.0,22.0,20.0,50.0,6.0,20.0,26.0,6.0,15.0,-3.0,-2.0,21.0,-13.0,-2.0,16.0,-19.0,0.0,5.0,-5.0,1.0,-2.0,11.0,8.0,-11.0,-3.0,-11.0,6.0,-11.0,-4.0,-1.0,2.0,-2.0,5.0,6.0,-7.0,6.0,2.0
2600616,2025,2025-06-22T20:00:00Z,11,Calgary Surge,Calgary,Vancouver Bandits,100,36,74,48,25,43,58,11,31,35,17,24,70,10,27,37,29,14,15,6,17,26,48,14,34,34,21,20,83.0,30.0,69.0,43.0,19.0,41.0,46.0,11.0,28.0,39.0,12.0,19.0,63.0,16.0,34.0,50.0,17.0,6.0,29.0,0.0,26.0,17.0,36.0,13.0,16.0,34.0,10.0,6.0,17.0,6.0,5.0,5.0,6.0,2.0,12.0,0.0,3.0,-4.0,5.0,5.0,7.0,-6.0,-7.0,-13.0,12.0,8.0,-14.0,6.0,-9.0,9.0,12.0,1.0,18.0,0.0,11.0,14.0
2600618,2025,2025-06-27T01:30:00Z,12,Calgary Surge,Calgary,Saskatchewan Rattlers,89,31,69,44,23,41,56,8,28,28,19,26,73,8,33,41,22,6,13,5,17,24,40,5,14,25,16,11,96.0,35.0,83.0,42.0,25.0,56.0,44.0,10.0,27.0,37.0,16.0,22.0,72.0,17.0,33.0,50.0,21.0,10.0,9.0,3.0,24.0,17.0,32.0,17.0,17.0,18.0,21.0,13.0,-7.0,-4.0,-14.0,2.0,-2.0,-15.0,12.0,-2.0,1.0,-9.0,3.0,4.0,1.0,-9.0,0.0,-9.0,1.0,-4.0,4.0,2.0,-7.0,7.0,8.0,-12.0,-3.0,7.0,-5.0,-2.0
2600631,2025,2025-07-03T23:30:00Z,13,Calgary Surge,Calgary,Brampton Honey Badgers,94,33,76,43,23,48,47,10,28,35,18,26,69,9,31,40,25,12,13,9,15,21,42,9,30,27,26,21,85.0,30.0,82.0,36.0,19.0,55.0,34.0,11.0,27.0,40.0,14.0,17.0,82.0,20.0,36.0,56.0,16.0,7.0,23.0,5.0,21.0,15.0,32.0,15.0,12.0,33.0,9.0,12.0,9.0,3.0,-6.0,7.0,4.0,-7.0,13.0,-1.0,1.0,-5.0,4.0,9.0,-13.0,-11.0,-5.0,-16.0,9.0,5.0,-10.0,4.0,-6.0,6.0,10.0,-6.0,18.0,-6.0,17.0,9.0
