game_id,game_date,game_number,team_name,opponent_name,actual_opponent_team,opponent_payroll_faced,opponent_active_players,opponent_players_with_salary,opponent_players_missing_salary,opponent_payroll_complete,league_average_payroll,difference_vs_average,pct_of_league_average
2798764,2026-06-14T22:00:00Z,10,Calgary Surge,Winnipeg Sea Bears,Winnipeg Sea Bears,10702.08,10,10,0,True,11772.152916666668,-1070.0729166666679,0.9091013407452693
2798774,2026-06-18T01:30:00Z,11,Calgary Surge,Brampton Honey Badgers,Brampton Honey Badgers,10665.380000000001,9,9,0,True,11772.152916666668,-1106.7729166666668,0.90598381413312
2798766,2026-06-20T23:00:00Z,12,Calgary Surge,Montreal Alliance,Montréal Alliance,11850.0,11,11,0,True,11772.152916666668,77.8470833333322,1.0066128161844652
2798783,2026-07-01T22:00:00Z,13,Calgary Surge,Edmonton Stingers,Edmonton Stingers,12517.67,11,11,0,True,11772.152916666668,745.5170833333323,1.0633288650436956
2798787,2026-07-04T01:30:00Z,14,Calgary Surge,Saskatoon Mamba,Saskatoon Mamba,11651.0,10,10,0,True,11772.152916666668,-121.1529166666678,0.9897085165709033
2798793,2026-07-05T19:30:00Z,15,Calgary Surge,Vancouver Bandits,Vancouver Bandits,10522.5,8,8,0,True,11772.152916666668,-1249.6529166666678,0.8938466969030409
2798804,2026-07-10T00:30:00Z,16,Calgary Surge,Vancouver Bandits,Vancouver Bandits,10522.5,8,8,0,True,11772.152916666668,-1249.6529166666678,0.8938466969030409
2798794,2026-07-12T19:30:00Z,17,Calgary Surge,Winnipeg Sea Bears,Winnipeg Sea Bears,11537.08,9,9,0,True,11772.152916666668,-235.07291666666788,0.9800314421388582
2798806,2026-07-18T01:30:00Z,18,Calgary Surge,Winnipeg Sea Bears,Winnipeg Sea Bears,11858.33,9,9,0,True,11772.152916666668,86.17708333333212,1.0073204182738167
2798811,2026-07-19T22:00:00Z,19,Calgary Surge,Saskatoon Mamba,Saskatoon Mamba,10734.33,10,10,0,True,11772.152916666668,-1037.8229166666679,0.9118408566374169
2798813,2026-07-22T01:30:00Z,20,Calgary Surge,Vancouver Bandits,Vancouver Bandits,13946.0,9,9,0,True,11772.152916666668,2173.847083333332,1.1846601126167553
2798819,2026-07-25T01:30:00Z,21,Calgary Surge,Edmonton Stingers,Edmonton Stingers,11517.67,10,10,0,True,11772.152916666668,-254.48291666666773,0.9783826358298168
2798824,2026-07-26T22:00:00Z,22,Calgary Surge,Edmonton Stingers,Edmonton Stingers,10867.67,10,10,0,True,11772.152916666668,-904.4829166666677,0.9231675868407955
2798830,2026-08-01T01:30:00Z,23,Calgary Surge,Niagara River Lions,Niagara River Lions,13450.0,9,8,1,False,11772.152916666668,1677.8470833333322,1.1425267829266714
2798835,2026-08-03T22:00:00Z,24,Calgary Surge,Saskatoon Mamba,Saskatoon Mamba,12584.33,12,12,0,True,11772.152916666668,812.1770833333321,1.0689913806830929
2798717,2026-05-09T19:30:00Z,1,Edmonton Stingers,Winnipeg Sea Bears,Winnipeg Sea Bears,9653.08,9,8,1,False,11772.152916666668,-2119.072916666668,0.8199927462999103
2798728,2026-05-17T01:00:00Z,2,Edmonton Stingers,Vancouver Bandits,Vancouver Bandits,12794.17,9,9,0,True,11772.152916666668,1022.0170833333323,1.0868164974213332
2798725,2026-05-23T02:00:00Z,3,Edmonton Stingers,Vancouver Bandits,Vancouver Bandits,11594.17,9,9,0,True,11772.152916666668,-177.98291666666773,0.9848810223646786
2798729,2026-05-24T22:00:00Z,4,Edmonton Stingers,Niagara River Lions,Niagara River Lions,10368.75,10,10,0,True,11772.152916666668,-1403.4029166666678,0.880786214161407
2798750,2026-05-31T22:00:00Z,5,Edmonton Stingers,Calgary Surge,Calgary Surge,9176.0,8,7,1,False,11772.152916666668,-2596.152916666668,0.7794665992665529
2798737,2026-06-03T23:30:00Z,6,Edmonton Stingers,Brampton Honey Badgers,Brampton Honey Badgers,9800.0,9,8,1,False,11772.152916666668,-1972.1529166666678,0.8324730462960134
2798749,2026-06-07T20:00:00Z,7,Edmonton Stingers,Montreal Alliance,Montréal Alliance,12300.0,10,10,0,True,11772.152916666668,527.8470833333322,1.0448386193307106
2798760,2026-06-14T01:00:00Z,8,Edmonton Stingers,Scarborough Shooting Stars,Scarborough Shooting Stars,14800.0,10,10,0,True,11772.152916666668,3027.847083333332,1.257204192365408
2798772,2026-06-18T01:00:00Z,9,Edmonton Stingers,Montreal Alliance,Montréal Alliance,11850.0,11,11,0,True,11772.152916666668,77.8470833333322,1.0066128161844652
2798763,2026-06-20T20:00:00Z,10,Edmonton Stingers,Winnipeg Sea Bears,Winnipeg Sea Bears,11387.08,10,10,0,True,11772.152916666668,-385.0729166666679,0.9672895077567764
2798775,2026-06-25T01:30:00Z,11,Edmonton Stingers,Saskatoon Mamba,Saskatoon Mamba,12601.0,11,11,0,True,11772.152916666668,828.8470833333322,1.0704074343240881
2798780,2026-06-28T22:00:00Z,12,Edmonton Stingers,Saskatoon Mamba,Saskatoon Mamba,11651.0,10,10,0,True,11772.152916666668,-121.1529166666678,0.9897085165709033
2798783,2026-07-01T22:00:00Z,13,Edmonton Stingers,Calgary Surge,Calgary Surge,11346.43,10,10,0,True,11772.152916666668,-425.7229166666675,0.9638364435392321
2798789,2026-07-04T02:00:00Z,14,Edmonton Stingers,Vancouver Bandits,Vancouver Bandits,12771.0,9,9,0,True,11772.152916666668,998.8470833333322,1.0848482932904477
2798797,2026-07-05T22:00:00Z,15,Edmonton Stingers,Winnipeg Sea Bears,Winnipeg Sea Bears,12137.08,10,10,0,True,11772.152916666668,364.9270833333321,1.0309991796671856
2798803,2026-07-10T00:00:00Z,16,Edmonton Stingers,Winnipeg Sea Bears,Winnipeg Sea Bears,9902.08,9,9,0,True,11772.152916666668,-1870.0729166666679,0.8411443573741662
2798791,2026-07-12T01:00:00Z,17,Edmonton Stingers,Vancouver Bandits,Vancouver Bandits,10522.5,8,8,0,True,11772.152916666668,-1249.6529166666678,0.8938466969030409
2798805,2026-07-16T23:30:00Z,18,Edmonton Stingers,Scarborough Shooting Stars,Scarborough Shooting Stars,15100.0,9,9,0,True,11772.152916666668,3327.847083333332,1.2826880611295717
2798808,2026-07-18T19:30:00Z,19,Edmonton Stingers,Niagara River Lions,Niagara River Lions,14450.0,11,10,1,False,11772.152916666668,2677.847083333332,1.2274730121405504
2798812,2026-07-22T01:30:00Z,20,Edmonton Stingers,Saskatoon Mamba,Saskatoon Mamba,12634.33,10,10,0,True,11772.152916666668,862.1770833333321,1.0732386921437869
2798819,2026-07-25T01:30:00Z,21,Edmonton Stingers,Calgary Surge,Calgary Surge,10246.43,10,10,0,True,11772.152916666668,-1525.7229166666675,0.8703955914039654
