game_id,fiba_id,season,team_name,short_name,team_code,team_score,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,personal_fouls,fouls_drawn,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2798722,2798722,2026,Montréal Alliance,,MTL,87,34,75,45,25,48,52,9,27,33,10,18,55,14,32,46,19,9,19,2,25,16,46,20,18,25,5,montreal alliance,Scarborough Shooting Stars,2026-05-15T23:30:00Z,1,11,10-18
2798716,2798716,2026,Montréal Alliance,,MTL,93,36,76,47,32,56,57,4,20,20,17,25,68,18,33,51,23,11,16,4,19,19,62,26,21,21,22,montreal alliance,Saskatoon Mamba,2026-05-19T23:30:00Z,2,15,17-25
2798726,2798726,2026,Montréal Alliance,,MTL,96,39,80,48,29,51,56,10,29,34,8,16,50,18,31,49,22,3,16,3,20,15,54,21,11,24,13,montreal alliance,Ottawa BlackJacks,2026-05-23T23:00:00Z,3,6,8-16
2798735,2798735,2026,Montréal Alliance,,MTL,72,25,57,43,18,42,42,7,15,46,15,25,60,5,25,30,20,5,13,5,9,21,36,5,13,10,14,montreal alliance,Niagara River Lions,2026-05-26T23:30:00Z,4,10,15-25
2798736,2798736,2026,Montréal Alliance,,MTL,80,30,68,44,22,43,51,8,25,32,12,15,80,12,30,42,22,10,13,10,15,14,44,11,9,21,20,montreal alliance,Brampton Honey Badgers,2026-05-28T15:00:00Z,5,20,12-15
2798747,2798747,2026,Montréal Alliance,,MTL,79,30,68,44,24,44,54,6,24,25,13,19,68,11,19,30,16,10,10,2,13,16,44,11,14,25,12,montreal alliance,Ottawa BlackJacks,2026-05-31T20:00:00Z,6,12,13-19
2798743,2798743,2026,Montréal Alliance,,MTL,97,34,66,51,27,43,62,7,23,30,22,33,66,6,32,38,29,14,20,4,23,23,52,5,18,39,19,montreal alliance,Winnipeg Sea Bears,2026-06-05T23:30:00Z,7,18,22-33
