game_id,fiba_id,season,team_name,short_name,team_code,team_score,field_goals_made,field_goals_attempted,field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,turnovers,blocks,personal_fouls,fouls_drawn,points_in_the_paint,second_chance_points,points_from_turnovers,bench_points,fast_break_points,team_name_clean,opponent_name,game_date,game_number,stocks,ft
2798732,2798732,2026,Niagara River Lions,,NRL,85,31,78,39,21,50,42,10,28,35,13,22,59,16,35,51,21,4,11,6,19,16,36,17,9,36,11,niagara river lions,Ottawa BlackJacks,2026-05-18T23:00:00Z,1,10,13-22
2798723,2798723,2026,Niagara River Lions,,NRL,71,22,65,33,12,35,34,10,30,33,17,21,80,14,25,39,6,5,17,1,17,20,22,6,10,40,4,niagara river lions,Winnipeg Sea Bears,2026-05-23T00:00:00Z,2,6,17-21
2798729,2798729,2026,Niagara River Lions,,NRL,101,35,69,50,22,37,59,13,32,40,18,24,75,14,24,38,16,7,14,2,22,20,38,12,15,17,7,niagara river lions,Edmonton Stingers,2026-05-24T22:00:00Z,3,9,18-24
2798735,2798735,2026,Niagara River Lions,,NRL,87,33,66,50,22,36,61,11,30,36,10,14,71,8,29,37,20,11,12,4,21,9,36,15,22,15,11,niagara river lions,Montreal Alliance,2026-05-26T23:30:00Z,4,15,10-14
2798740,2798740,2026,Niagara River Lions,,NRL,100,39,71,54,29,40,72,10,31,32,12,19,63,9,21,30,27,10,12,3,18,15,56,16,16,43,8,niagara river lions,Vancouver Bandits,2026-05-29T23:00:00Z,5,13,12-19
2798754,2798754,2026,Niagara River Lions,,NRL,88,32,76,42,24,45,53,8,31,25,16,21,76,17,23,40,26,8,8,2,19,18,42,20,21,40,18,niagara river lions,Calgary Surge,2026-06-03T23:00:00Z,6,10,16-21
2798741,2798741,2026,Niagara River Lions,,NRL,86,32,93,34,23,52,44,9,41,21,13,19,68,20,30,50,13,11,11,8,19,22,40,19,21,22,13,niagara river lions,Brampton Honey Badgers,2026-06-05T23:00:00Z,7,19,13-19
2798751,2798751,2026,Niagara River Lions,,NRL,93,34,72,47,23,40,57,11,32,34,14,20,70,16,23,39,22,6,14,2,15,19,42,15,13,34,13,niagara river lions,Scarborough Shooting Stars,2026-06-10T23:00:00Z,8,8,14-20
